block,section,ref,qty,qty_min,qty_max,status,value,mpn,datasheet,notes
power,1. Front-end protection (vehicle input → VSYS),J1,1,1,1,Req,"2-pin power input connector, automotive-rated",Molex/JST (verify current + keying),,Car harness entry
power,1. Front-end protection (vehicle input → VSYS),F1,1,1,1,Req,"Fuse, 3–4 A slow-blow, + holder",Littelfuse 0451 series (size to draw),,~2.5 A worst-case in at 7 V; 3–4 A gives margin
power,1. Front-end protection (vehicle input → VSYS),Q1,1,1,1,Req,"P-ch MOSFET, −60 V, ~110 mΩ, AEC-Q101",Diodes DMP6110SFDF-13,https://www.diodes.com/datasheet/download/DMP6110SFDF.pdf,Reverse-polarity pass FET; −60 V clears the SM8S26A ~42 V clamp
power,1. Front-end protection (vehicle input → VSYS),R1,1,1,1,Rec,"Gate resistor ≈ 100 kΩ, 0603",generic 1%,,Q1 gate pull to source
power,1. Front-end protection (vehicle input → VSYS),Dz1,1,1,1,Rec,"Gate-protect Zener ≈ 15 V, SOD-123",Nexperia BZT52C15,,Clamps Q1 V_GS (abs max ±20 V) on transients
power,1. Front-end protection (vehicle input → VSYS),D1,1,1,1,Req,"Uni TVS, 26 V standoff, 42.1 V clamp, 7 kW, AEC-Q101",Littelfuse SM8S26A,https://www.littelfuse.com/products/tvs-diodes/surface-mount/sm8s.aspx,"Load-dump clamp; standoff > 18 V max, clamp < 60 V buck abs-max"
power,1. Front-end protection (vehicle input → VSYS),FB0,1,1,1,Rec,EMI ferrite / pi-filter element (or ≈ 4.7 µH),Würth WE-MPSB or 4.7 µH power inductor,,Keeps switching noise off the harness
power,1. Front-end protection (vehicle input → VSYS),C0,1,1,1,Rec,"Pi-filter input cap ≈ 1 µF, 63 V, X7R, 1210",generic,,Before FB0 (harness side)
power,1. Front-end protection (vehicle input → VSYS),"C2, C3",2,2,2,Req,"≈ 2.2 µF, 63 V, X7R, 1210 (at VSYS)",generic,,After FB0; shared input decoupling for both bucks
power,1. Front-end protection (vehicle input → VSYS),C1,1,1,1,Req,"Input bulk ≈ 100 µF, 63 V, aluminum electrolytic (low-ESR)",Panasonic FR/FC series,,Transient reservoir; 63 V for headroom over 42 V clamp
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",U2,1,1,1,Req,"Wide-Vin buck, 4.5–60 V in, 5 A, survives 65 V load dump, AEC-Q100",TI TPS54560-Q1,https://www.ti.com/lit/ds/symlink/tps54560-q1.pdf,V_OUT = 3.3 V; 5 A gives headroom over ~4 A 2G burst; non-sync (needs D2)
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",L1,1,1,1,Req,"Power inductor ≈ 10 µH, I_sat ≥ 7.6 A, I_rms ≥ 7 A",Coilcraft XAL6060-103MEC,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xal/xal60xx/,Margin over 5.7 A peak; verify L vs U2 procedure at chosen fsw
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",D2,1,1,1,Req,"Schottky catch diode, 60 V, ≥ 5 A",Diodes B560C-13-F,https://www.diodes.com/datasheet/download/B560C.pdf,Required for non-sync TPS54560; verify thermals at sustained 5 A (bump to a 60 V/8 A part if running max continuously)
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",C_inA,3,3,3,Req,2× 10 µF 63 V X7R (1210) + 0.1 µF,generic,,"At U2 V_IN, tight loop"
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",C_outA,3,3,3,Req,3× 22 µF 16 V X7R (1206),generic,,At U2 V_OUT; size for 5 A ripple + burst
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",R_fbA1,1,1,1,Req,≈ 31.6 kΩ 1% 0603 (top),generic,,Sets 3.3 V with V_REF 0.8 V (ratio 3.125)
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",R_fbA2,1,1,1,Req,10 kΩ 1% 0603 (bottom),generic,,—
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",R_rtA,1,1,1,Req,RT/CLK resistor (set ~500 kHz),per datasheet,,~100 kΩ region; use datasheet fsw equation
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",C_ssA,1,1,1,Req,"Soft-start cap (SS/TR), sized for ≥ 5 ms",per datasheet,,Controlled ramp; must cover inrush into the 660 µF socket reservoir (~0.44 A extra at 5 ms). Recompute — see power-rail-notes.md
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)","R_compA, C_compA(, C_comp2A)",2–3,2,3,Req,Compensation network,per datasheet,,Current-mode external comp — loop is unstable without it. Must be recomputed for C_out = 660 µF / ESR ≈ 6.7 mΩ: the output pole moved from ≈651 Hz to ≈197 Hz. See power-rail-notes.md
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",C_bootA,1,1,1,Req,"Bootstrap ≈ 0.1 µF, 0603",per datasheet,,BOOT-to-SW; drives internal high-side FET. Verify against TPS54560-Q1 datasheet (TI's standard BOOT value is 0.1 µF; the earlier 10 nF was under-sized)
power,"2. Buck A — VSYS → 3.3 V @ ≥ 4 A (BG95 Mini PCIe rail, 2G-capable)",R_enA1/2,1–2,1,2,Opt,EN pull-down (divider optional),1% 0603,,EN driven by PIC GPIO; pull-down = default OFF to sequence card after MCU. Divider only if hardware UVLO wanted
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),U3,1,1,1,Req,"Small wide-Vin buck, 4–60 V in, 0.6 A, 0.7 MHz",TI LMR16006XDDCR,https://www.ti.com/lit/ds/symlink/lmr16006.pdf,V_OUT = 3.3 V (V_REF 0.765 V); X = 0.7 MHz chosen over Y (2.1 MHz): at 18 V in / 3.3 V out the Y needs an 87 ns on-time vs the 80 ns TON_MIN (§7.6) — pulse-skips at high line. X needs ~196 ns. Integrates comp + soft-start
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),L2,1,1,1,Req,"Power inductor 22 µH, I_sat ≥ 1.7 A (≥ max current limit)",Coilcraft XAL5030-223 or similar (verify I_sat),,"Eq. 1 at 18 V in, K_IND 0.3, 0.7 MHz → 21.4 µH → 22 µH (datasheet's own starting point, §9.2.2.2). Ripple ≈ 0.18 A, peak ≈ 0.69 A; I_sat ≥ 1.7 A current-limit max so a short can't saturate it"
power,3. Buck B — VSYS → 3.3 V @ ~0.6 A (PIC + NEO-M9N rail),D3,1,1,1,Req,"Schottky catch diode, 60 V, 1 A (SMA)","onsemi SS16 (auto: SBRA8160, AEC-Q101)",https://www.onsemi.com/download/data-sheet/pdf/ss16-d.pdf,Required — LMR16006 is non-sync (datasheet §9.2.2.4: V_BR ≥ 25% over max V_IN → 60 V)
