"Comment","Designator","Footprint","LCSC Part #","MPN"
"4u7","C1","0805","C90791","GCM21BR71C475KA73L"
"0u1","C2,C3,C6,C26,C28,C30","0402","C126527","GCM155R71E104KE02D"
"1n","C4,C5","0402","C126532","GCM155R71H102KA37D"
"100u","C7","SMD,D10xL10.2mm","C109086","EEH-ZA1H101P"
"10p","C8","0402","C126491","GCM1555C1H100JA16D"
"33p","C9,C54,C55,C56","0402","C126506","GCM1555C1H330JA16D"
"4n7","C23","1206","","C1206C472KGRACAUTO"
"1u","C24","0402","","GCM155R71C105KA55D"
"4u7","C25,C27,C29","0603","C5160228","GRT188C71C475KE13D"
"1u","C31","0805","C126592","GCM21BR71H105KA03L"
"2u2","C32,C33","1206","C126604","GCM31CR71H225KA55L"
"100n","C34,C42","0805","C161260","GCM21BR71H104KA37L"
"22u","C35,C36","0805","","GCM21BR61A226ME36L"
"4u7","C37","1210","C126618","GCM32ER71H475KA55L"
"0u1","C38,C41","0805","C161260","GCM21BR71H104KA37L"
"10u","C39,C40","1210","","GCM32ER71H106KA03L"
"22u","C43,C44,C45","1206","","GCM31CR71C226KE02L"
"56n","C46","0603","","GCM188R71H563KA55D"
"330p","C47","0603","","GCM1885C1H331JA16D"
"10u","C48,C51,C60","0805","","GCM21BR71C106KE22L"
"100n","C49,C52,C53,C61","0402","C85857","GCM155R71C104KA55D"
"1u","C50","0603","C161212","GCM188R71C105KA64D"
"220u","C57,C58,C59","EIA-7343-31 (D)","","T525D227M006ATE025"
"BZT52B10","D1","SOD-123F","","BZT52B10Q-7"
"SM8S26A","D2","DO-218AB","C42264767","SM8S26A"
"B160Q","D3","SMA","C134434","B160Q-13-F"
"SBR8U60P5","D4","PowerDI5","C154726","SBR8U60P5-13"
"PESD0402-140","D5","0402","C10662","PESD0402-140"
"5A","F1","Mini blade fuse holder","C151093","0297005.WXNV"
"600R@100MHz","FB1","0603","C710380","BLM18KG601SZ1D"
"Conn_PIC_ICSP_ICD","J1","Header 1x06 P2.54mm","","61300611021"
"Conn_01x02","J2","Solder pads 1x02","",""
"SMA_RA_TH_50R","J3","SMA right-angle TH","","132136"
"USB_C_Receptacle_USB2.0_16P","J4","USB-C 16P SMD","C3020560","USB4105-GF-A"
"BG95-M3_MiniPCIe","J5","Mini PCIe socket 52P","","679105700"
"SIM8060-6-1-14-00","J6","nano-SIM holder 6P","C2943124","SIM8060-6-1-14-00-A"
"61300211121","JP1","Header 1x02 P2.54mm","","61300211121"
"4u7","L1","SMD 8.0x8.0mm","C2045122","SRN8040TA-4R7M"
"22u","L2","SMD 6.0x6.0mm","C2044314","SRN6045TA-220M"
"10u","L3","SMD 6.36x6.56mm","C5329540","XAL6060-103MEC"
"47n","L4","0603","C98076","LQW18AN47NG00D"
"MiniPCIe_Latch","MP1","SMD latch","C565080","48099-5701"
"DMP6023LFGQ","Q1","PowerDI3333-8","C672173","DMP6023LFGQ-13"
"10k","R1,R38,R39,R40,R43,R45","0603","C116677","AC0603FR-0710KL"
"220","R2,R36,R37,R57,R58","0603","C138284","AC0603FR-07220RL"
"47","R3,R5","0603","C144656","AC0603FR-0747RL"
"1M","R25","0603","C116678","AC0603FR-071ML"
"5k1","R29,R32","0603","C125891","AC0603FR-075K1L"
"22k1","R33","0603","C227715","AC0603FR-0722K1L"
"47k5","R34","0603","C227918","AC0603FR-0747K5L"
"1k","R35,R49","0603","C116692","AC0603FR-071KL"
"100k","R41,R48,R51","0603","C116674","AC0603FR-07100KL"
"33k2","R42","0603","C227824","AC0603FR-0733K2L"
"31k6","R44","0603","C227816","AC0603FR-0731K6L"
"200k","R46","0603","C144683","AC0603FR-07200KL"
"13k3","R47","0603","C227581","AC0603FR-0713K3L"
"22","R50","0805","C417009","ERJ-P06J220V"
"51k","R55,R56","0402","C144749","AC0402FR-0751KL"
"PIC18F57Q84","U1","TQFP-48_7x7","C2908290","PIC18F57Q84-I/PT"
"LMR16006X","U2","TSOT-23-6","C87080","LMR16006XDDCR"
"TPS54560-Q1","U3","SOIC-8-EP","","TPS54560QDDARQ1"
"NEO-M9N","U4","SMD-24P","C5119087","NEO-M9N-00B"
"USBLC6-2SC6","U6","SOT-23-6","C2969755","USBLC6-2SC6Y"
"CP2102N-Axx-xQFN24","U7","QFN-24-EP(4x4)","","CP2102N-A02-GQFN24"
"TPD4E02B04DQA","U9","USON-10","C106794","TPD4E02B04DQAR"
