"MPN","Manufacturer","LCSC","PartClass","Stock","UnitPrice","JLCPackage","JLCDescription","MatchStatus","JLCCandidates"
"GCM21BR71C475KA73L","Murata","C90791","Extended","16631","0.0620","0805","16V 4.7uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM155R71E104KE02D","Murata","C126527","Extended","47264","0.0186","0402","100nF 25V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM155R71H102KA37D","Murata","C126532","Extended","7987786","0.0065","0402","1nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"EEH-ZA1H101P","Panasonic","C109086","Extended","2478","0.7842","SMD,D10xL10.2mm","-55℃~+105℃ 10.2mm 10000hrs@105℃ 100uF 10mm 28mΩ 300mA@100Hz 50V ±20% SMD,D10xL10.2mm Hybrid Aluminum Electrolytic Capacitors ROHS","exact-normalized","JLC lists it as EEHZA1H101P"
"GCM1555C1H100JA16D","Murata","C126491","Extended","84705","0.0118","0402","10pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM1555C1H330JA16D","Murata","C126506","Extended","240985","0.0128","0402","33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"C1206C472KGRACAUTO","KEMET","","","","","","","no-exact-match","C1206C472K5RAC7800 (C600063, 1206, stock 8539); C1206C475K5RACTU (C2170321, 1206, stock 4274); C1206C474K4RACTU (C2167327, 1206, stock 3946); C1206C471K5GACTU (C2171119, 1206, stock 3856); C1206C475K5RACAUTO (C696377, 1206, stock 3117)"
"GCM155R71C105KA55D","Murata","","","","","","","no-exact-match","GCM155R71H102KA37D (C126532, 0402, stock 7987786); GCM155R71H103KA55D (C91601, 0402, stock 2330842); GCM155R71H473KE02D (C368599, 0402, stock 810464); GCM155R71H104KE02J (C2649549, 0402, stock 126941); GCM155R71H682KA55D (C161171, 0402, stock 90161)"
"GRT188C71C475KE13D","Murata","C5160228","Extended","18355","0.0701","0603","16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM21BR71H105KA03L","Murata","C126592","Extended","20998","0.0581","0805","1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM31CR71H225KA55L","Murata","C126604","Extended","97905","0.0967","1206","2.2uF 50V X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM21BR71H104KA37L","Murata","C161260","Extended","6192","0.0240","0805","100nF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM21BR61A226ME36L","Murata","","","","","","","no-exact-match",""
"GCM32ER71H475KA55L","Murata","C126618","Extended","4758","0.1816","1210","4.7uF 50V X7R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","exact",""
"GCM32ER71H106KA03L","Murata","","","","","","","no-exact-match","GCM32ER71C226KE19L (C126614, 1210, stock 8836); GCM32ER70J476KE19L (C440151, 1210, stock 5093); GCM32ER71H475KA55L (C126618, 1210, stock 4758); GCM32ER71C226ME19K (C2179811, 1210, stock 4040); GCM32ER71A226KE12L (C913632, 1210, stock 1801)"
"GCM31CR71C226KE02L","Murata","","","","","","","no-exact-match","GCM31CR71H225KA55L (C126604, 1206, stock 97905); GCM31CR72A105KA03L (C408556, 1206, stock 5744); GCM31CR70J226ME23L (C126597, 1206, stock 4012); GCM31CR71C106KA64L (C126600, 1206, stock 3395); GCM31CR70J226KE23L (C417135, 1206, stock 2054)"
"GCM188R71H563KA55D","Murata","","","","","","","no-exact-match","GCM188R70J225KE22D (C126582, 0603, stock 200099); GCM188R71H104KA57J (C3011652, 0603, stock 70051); GCM188R71H224KA64D (C97857, 0603, stock 44320); GCM188R72A103KA37D (C161232, 0603, stock 33583); GCM188R72A104KA64D (C415406, 0603, stock 24022)"
"GCM1885C1H331JA16D","Murata","","","","","","","no-exact-match","GCM1885C2A221JA16D (C388907, 0603, stock 1574621); GCM1885C2A470JA16D (C126580, 0603, stock 70856); GCM1885C2A100JA16D (C126575, 0603, stock 37025); GCM1885C2A220JA16D (C408549, 0603, stock 29219); GCM1885C2A510JA16D (C2941924, 0603, stock 22550)"
